transaction_date,merchant,amount,category,transaction_type,status,bonus_value
2026-04-03,Продавец 22,59.5,Категория 2,Списание,Выполнен,1.4
2026-04-03,Продавец 17,413.12,Категория 16,Списание,Выполнен,0.0
2026-04-04,Продавец 19,136.61,Категория 1,Списание,Выполнен,6.63
2026-04-04,Продавец 19,205.21,Категория 2,Списание,в обработке,5.77
2026-04-04,Продавец 9,367.94,Категория 1,Списание,Выполнен,17.11
2026-04-04,Продавец 17,444.26,Категория 2,Списание,Выполнен,0.0
2026-04-05,Продавец 7,634.18,Категория 2,Списание,Выполнен,0.0
2026-04-05,Продавец 6,166.37,Категория 2,Списание,Выполнен,5.68
2026-04-05,Продавец 5,255.38,Категория 1,Списание,Выполнен,7.06
2026-04-06,Продавец 13,267.09,Категория 10,Списание,Выполнен,6.12
2026-04-06,Продавец 14,467.45,Категория 3,Списание,Выполнен,18.71
2026-04-08,Продавец 20,272.63,Категория 1,Списание,Выполнен,7.3
2026-04-09,Продавец 13,154.27,Категория 1,Списание,Выполнен,6.0
2026-04-09,Продавец 13,2518.44,Категория 1,Списание,Выполнен,67.43
2026-04-09,Продавец 36,74.59,Категория 1,Списание,Выполнен,0.0
2026-04-09,Продавец 8,375.79,Категория 1,Списание,Выполнен,0.0
2026-04-09,Продавец 7,633.78,Категория 1,Списание,Выполнен,30.39
2026-04-09,Продавец 24,137.07,Категория 4,Списание,в обработке,0.0
2026-04-10,Продавец 5,152.23,Категория 10,Пополнение,Выполнен,3.28
2026-04-10,Продавец 26,67.75,Категория 1,Списание,Выполнен,0.0
2026-04-10,Продавец 31,249.66,Категория 1,Списание,Выполнен,0.0
2026-04-10,Продавец 1,316.3,Категория 1,Списание,Выполнен,0.0
2026-04-10,Продавец 22,180.59,Категория 2,Списание,Выполнен,5.22
2026-04-11,Продавец 31,24.69,Категория 1,Списание,Выполнен,1.16
2026-04-11,Продавец 38,338.28,Категория 1,Списание,Выполнен,7.85
2026-04-12,Продавец 3,555.54,Категория 2,Списание,Выполнен,0.0
2026-04-12,Продавец 22,125.89,Категория 3,Списание,Выполнен,4.72
2026-04-12,Продавец 29,387.78,Категория 4,Списание,Выполнен,9.62
2026-04-13,Продавец 35,728.57,Категория 1,Пополнение,Выполнен,18.2
2026-04-14,Продавец 9,125.36,Категория 5,Списание,Выполнен,5.88
2026-04-14,Продавец 9,564.48,Категория 1,Списание,Выполнен,0.0
2026-04-14,Продавец 6,791.35,Категория 3,Списание,Выполнен,20.85
2026-04-14,Продавец 26,687.08,Категория 12,Списание,в обработке,25.33
2026-04-15,Продавец 12,500.94,Категория 5,Списание,Выполнен,20.43
2026-04-15,Продавец 13,136.5,Категория 24,Списание,в обработке,4.63
2026-04-16,Продавец 11,207.83,Категория 5,Списание,Выполнен,0.0
2026-04-16,Продавец 22,103.56,Категория 4,Списание,Выполнен,0.0
2026-04-16,Продавец 37,234.17,Категория 2,Списание,Выполнен,0.0
2026-04-17,Продавец 8,308.15,Категория 4,Пополнение,Выполнен,0.0
2026-04-19,Продавец 31,198.6,Категория 3,Списание,Выполнен,5.13
2026-04-19,Продавец 26,379.37,Категория 4,Списание,Выполнен,10.83
2026-04-20,Продавец 37,894.31,Категория 3,Списание,Выполнен,0.0
2026-04-21,Продавец 16,223.33,Категория 4,Пополнение,Выполнен,0.0
2026-04-21,Продавец 24,63.7,Категория 4,Списание,Выполнен,1.78
2026-04-21,Продавец 3,87.05,Категория 1,Списание,Выполнен,4.33
2026-04-22,Продавец 14,255.39,Категория 4,Пополнение,Выполнен,0.0
2026-04-22,Продавец 8,207.88,Категория 4,Пополнение,Выполнен,0.0
2026-04-22,Продавец 26,411.05,Категория 1,Списание,Выполнен,0.0
2026-04-22,Продавец 20,29.33,Категория 1,Списание,Выполнен,0.0
2026-04-23,Продавец 25,44.55,Категория 1,Списание,Выполнен,2.05
2026-04-23,Продавец 32,401.24,Категория 1,Списание,Выполнен,0.0
2026-04-23,Продавец 18,236.15,Категория 2,Списание,в обработке,5.38
2026-04-24,Продавец 5,511.28,Категория 1,Списание,Выполнен,17.07
2026-04-24,Продавец 38,730.94,Категория 3,Списание,Выполнен,16.84
2026-04-24,Продавец 6,222.41,Категория 4,Пополнение,в обработке,6.73
2026-04-25,Продавец 37,214.81,Категория 3,Пополнение,Выполнен,0.0
2026-04-26,Продавец 21,69.37,Категория 2,Пополнение,Выполнен,0.0
2026-04-26,Продавец 9,333.88,Категория 5,Списание,Выполнен,0.0
2026-04-27,Продавец 28,217.75,Категория 2,Списание,Выполнен,0.0
2026-04-27,Продавец 9,393.41,Категория 1,Списание,в обработке,0.0
2026-04-27,Продавец 19,54.47,Категория 5,Списание,Выполнен,0.0
2026-05-01,Продавец 16,148.71,Категория 4,Списание,в обработке,0.0
2026-05-02,Продавец 4,140.19,Категория 3,Списание,Выполнен,3.52
2026-05-02,Продавец 35,70.08,Категория 3,Списание,Выполнен,0.0
2026-05-04,Продавец 10,1220.49,Категория 5,Списание,Выполнен,55.86
2026-05-05,Продавец 36,133.2,Категория 1,Списание,Выполнен,4.24
2026-05-07,Продавец 1,374.54,Категория 5,Списание,Выполнен,8.68
2026-05-07,Продавец 28,179.01,Категория 2,Списание,в обработке,6.61
2026-05-07,Продавец 12,206.56,Категория 1,Списание,Выполнен,5.2
2026-05-07,Продавец 35,158.53,Категория 3,Списание,Выполнен,7.72
2026-05-12,Продавец 22,252.7,Категория 2,Списание,в обработке,9.09
2026-05-12,Продавец 17,45.34,Категория 4,Списание,Выполнен,1.31
2026-05-13,Продавец 23,384.66,Категория 1,Списание,Выполнен,13.47
2026-05-13,Продавец 13,241.38,Категория 1,Списание,Выполнен,8.25
2026-05-13,Продавец 10,74.17,Категория 4,Списание,Выполнен,2.98
2026-05-14,Продавец 19,330.81,Категория 1,Пополнение,Выполнен,0.0
2026-05-14,Продавец 11,327.55,Категория 5,Списание,Выполнен,7.21
2026-05-14,Продавец 2,443.02,Категория 6,Списание,Выполнен,0.0
2026-05-14,Продавец 15,272.02,Категория 2,Списание,Выполнен,10.69
2026-05-16,Продавец 21,57.48,Категория 1,Списание,Выполнен,0.0
2026-05-16,Продавец 37,623.68,Категория 1,Списание,Выполнен,30.22
2026-05-17,Продавец 16,190.16,Категория 1,Пополнение,Выполнен,7.67
2026-05-17,Продавец 23,54.76,Категория 1,Пополнение,в обработке,0.0
2026-05-18,Продавец 9,139.43,Категория 5,Списание,Выполнен,5.13
2026-05-19,Продавец 3,1552.89,Категория 3,Списание,Выполнен,0.0
2026-05-19,Продавец 13,412.15,Категория 2,Списание,Выполнен,0.0
2026-05-20,Продавец 21,984.09,Категория 1,Списание,Выполнен,0.0
2026-05-21,Продавец 9,84.68,Категория 1,Списание,Выполнен,2.96
2026-05-22,Продавец 4,372.1,Категория 1,Списание,Выполнен,15.52
2026-05-22,Продавец 33,122.17,Категория 3,Списание,Выполнен,2.63
2026-05-22,Продавец 24,873.37,Категория 1,Пополнение,Выполнен,33.56
2026-05-22,Продавец 27,128.69,Категория 5,Списание,Выполнен,5.54
2026-05-22,Продавец 27,202.52,Категория 2,Списание,Выполнен,4.25
2026-05-23,Продавец 33,386.23,Категория 5,Списание,Выполнен,12.59
2026-05-24,Продавец 32,253.98,Категория 1,Списание,Выполнен,0.0
2026-05-24,Продавец 39,103.82,Категория 2,Списание,в обработке,0.0
2026-05-24,Продавец 11,116.26,Категория 5,Списание,Выполнен,5.24
2026-05-24,Продавец 21,148.0,Категория 2,Пополнение,Выполнен,2.98
2026-05-25,Продавец 31,78.46,Категория 4,Списание,Выполнен,3.29
2026-05-25,Продавец 19,365.93,Категория 2,Списание,Выполнен,10.45
2026-05-26,Продавец 3,1085.56,Категория 2,Списание,Выполнен,35.95
2026-05-26,Продавец 19,1209.56,Категория 1,Списание,Выполнен,42.31
2026-05-27,Продавец 2,599.85,Категория 3,Списание,Выполнен,0.0
2026-05-27,Продавец 1,325.66,Категория 2,Списание,Выполнен,0.0
2026-05-27,Продавец 37,1456.49,Категория 5,Пополнение,Выполнен,0.0
2026-06-02,Продавец 37,539.6,Категория 3,Пополнение,Выполнен,19.8
2026-06-03,Продавец 28,76.49,Категория 1,Списание,Выполнен,3.51
2026-06-04,Продавец 23,148.01,Категория 3,Списание,Выполнен,7.15
2026-06-05,Продавец 8,330.58,Категория 8,Списание,Выполнен,14.85
2026-06-05,Продавец 35,258.37,Категория 9,Списание,Выполнен,0.0
2026-06-05,Продавец 27,317.1,Категория 3,Списание,Выполнен,10.11
2026-06-05,Продавец 10,102.59,Категория 3,Пополнение,Выполнен,0.0
2026-06-06,Продавец 23,797.85,Категория 5,Списание,Выполнен,0.0
2026-06-07,Продавец 35,104.16,Категория 2,Пополнение,Выполнен,0.0
2026-06-08,Продавец 27,258.35,Категория 1,Пополнение,Выполнен,0.0
2026-06-08,Продавец 38,626.66,Категория 4,Списание,Выполнен,0.0
2026-06-08,Продавец 32,351.44,Категория 3,Списание,в обработке,0.0
2026-06-09,Продавец 6,605.56,Категория 2,Списание,в обработке,17.4
2026-06-11,Продавец 31,107.73,Категория 3,Списание,Выполнен,0.0
2026-06-11,Продавец 10,96.36,Категория 2,Списание,Выполнен,0.0
2026-06-12,Продавец 13,338.04,Категория 18,Списание,Выполнен,11.72
2026-06-12,Продавец 13,153.77,Категория 1,Списание,Выполнен,0.0
2026-06-12,Продавец 27,182.66,Категория 2,Списание,Выполнен,4.14
2026-06-13,Продавец 17,123.75,Категория 1,Списание,Выполнен,0.0
2026-06-18,Продавец 37,23.0,Категория 9,Списание,в обработке,0.0
2026-06-18,Продавец 36,191.47,Категория 1,Списание,Выполнен,0.0
2026-06-20,Продавец 37,199.88,Категория 2,Списание,Выполнен,4.06
2026-06-24,Продавец 21,178.82,Категория 1,Списание,Выполнен,0.0
2026-06-24,Продавец 3,249.95,Категория 3,Списание,Выполнен,9.86
2026-06-25,Продавец 17,214.49,Категория 3,Пополнение,Выполнен,4.73
2026-06-25,Продавец 21,706.25,Категория 1,Списание,в обработке,23.84
2026-06-26,Продавец 30,80.71,Категория 3,Списание,Выполнен,0.0
2026-06-26,Продавец 33,181.1,Категория 1,Списание,Выполнен,6.64
2026-06-26,Продавец 7,1651.7,Категория 1,Списание,Выполнен,73.28
2026-06-27,Продавец 17,1572.82,Категория 4,Списание,Выполнен,60.18
2026-06-27,Продавец 30,227.82,Категория 3,Списание,Выполнен,5.51
